#WORD	ANIMATE	INANIMATE	MALE	FEMALE	NEUTRAL	SINGULAR	PLURAL
行	1	10	0	0	0	43	6
台西乡	1	2	1	0	0	2	1
省上	0	1	0	0	0	1	0
林永忠	2	0	2	0	0	2	0
杰作	0	0	0	0	0	2	0
廖庆荣	2	0	0	0	0	2	0
林业局	2	2	0	0	0	0	2
血	0	0	0	0	0	2	0
金属	0	2	0	0	0	5	0
拱门	0	0	0	0	0	2	0
问政	0	0	0	0	0	2	0
蓝侗	1	0	0	0	0	1	1
太太	11	0	2	8	0	20	2
大妈	0	0	0	0	0	1	0
谢利夫	1	0	1	0	0	1	0
工专	0	2	0	0	0	0	0
内地	3	6	3	0	0	39	0
参与	0	0	0	0	0	2	0
工业	0	3	0	0	0	76	0
半岛	0	16	0	0	0	16	0
家里	0	0	0	0	0	28	0
正义	0	0	0	0	0	1	0
蚂蚁】	0	0	0	0	0	1	0
兄弟	8	0	6	0	0	14	7
补	0	0	0	0	0	2	0
薛继光	2	0	0	0	0	2	0
默克尔	2	0	0	0	0	2	0
院士	4	2	2	0	0	6	2
体验	0	0	0	0	0	5	0
计	0	0	0	0	0	2	0
达文东	2	0	0	0	0	2	0
孤儿	1	0	1	0	0	1	0
订	1	0	1	0	0	1	0
元年	0	0	0	0	0	2	0
让	0	0	0	0	0	1	0
大隘	0	10	0	0	0	10	0
房租	0	0	0	0	0	1	0
白宫	4	19	0	0	0	14	4
记	1	0	1	0	0	1	0
板翼	3	0	3	0	0	3	3
太阳	1	0	1	0	0	3	0
趋势	0	0	0	0	0	22	0
银川骑	0	0	0	0	0	1	0
讲	0	0	0	0	0	1	0
买主	0	0	0	0	0	2	0
设	0	2	0	0	0	2	0
对话	0	0	0	0	0	11	0
百官	0	0	0	0	0	1	0
访	0	0	0	0	0	2	0
谢松枝	1	0	1	0	0	1	0
论	0	0	0	0	0	6	0
纪元	0	0	0	0	0	2	0
阿拉法特	50	0	14	0	0	50	6
收入	0	0	0	0	0	39	0
敌人	3	1	3	0	0	10	3
奥卿	1	0	0	1	0	1	0
大雁	0	0	0	0	0	2	0
麦格拉西	3	0	0	0	0	3	0
圣克里斯多福	0	2	0	0	0	2	0
夫婿	1	0	1	0	0	1	0
战线	0	0	0	0	0	2	0
车库	0	0	0	0	0	4	0
总步兵	0	1	0	0	0	1	0
形式	0	0	0	0	0	29	0
徐惟诚	1	0	0	0	0	1	0
坦桑尼亚	0	1	0	0	0	1	0
对谈	0	0	0	0	0	2	0
珍珠	0	0	0	0	0	4	0
青睐	0	0	0	0	0	2	0
营收	0	0	0	0	0	1	0
幼童	2	0	2	0	0	2	0
李孟娜	2	0	0	2	0	2	0
蔡秋雄	3	0	3	0	0	3	0
老挝	0	14	0	0	0	14	0
周莉	1	0	0	0	0	1	0
空间	0	2	0	0	2	21	0
剧目	0	0	0	0	0	1	0
塞浦路斯	0	4	0	0	0	4	0
办公厅	0	2	0	0	0	0	0
库奇马	1	0	0	0	0	1	0
金庸	5	0	5	0	0	5	0
庆祝	0	0	0	0	0	2	0
７日	0	0	0	0	0	2	2
行政区	0	29	0	0	0	27	0
联大	0	5	0	0	0	6	0
黑手	1	0	1	0	0	1	1
说	2	0	2	0	0	6	1
龙劭华	1	0	0	0	0	1	0
读	0	0	0	0	0	4	0
侮辱	0	0	0	0	0	3	0
警长	1	0	1	0	0	1	0
钱财	0	0	0	0	0	4	0
课	0	0	0	0	0	10	0
fluhr	0	0	2	0	0	2	0
一家	0	0	0	0	0	6	0
林朝贤	1	0	1	0	0	1	0
证	0	0	0	0	0	1	0
总理	63	0	36	5	0	80	4
戈达尔	1	0	0	0	0	1	0
指挥官	1	0	0	0	0	1	0
避难所	0	1	0	0	0	4	0
留给	0	0	0	0	0	1	0
评	0	0	0	0	0	2	0
ｐｎｔｒ	0	0	0	0	0	1	0
演出	1	0	1	0	0	7	1
词	0	0	0	0	0	3	0
购并	0	0	0	0	0	1	0
治国	0	0	0	0	0	2	0
舆论界	0	0	0	0	0	1	0
历史	0	0	0	0	0	59	2
禽流感	0	0	0	0	0	2	0
米洛舍维奇	162	0	115	22	0	162	1
诗	0	0	0	0	0	3	0
疤痕	0	0	0	0	0	2	0
极乐世界	0	0	0	0	0	2	0
军车	0	0	0	0	0	2	0
大法官们	1	0	1	0	0	1	1
陶器	0	0	0	0	0	3	0
话	0	0	0	0	0	27	0
框架	0	0	0	0	0	13	0
迪马	1	0	0	0	0	1	0
认购	0	0	0	0	0	2	0
典型	0	0	0	0	0	0	0
土地公	1	0	1	0	0	1	0
碾过	0	0	0	0	0	1	0
妇人	1	0	0	0	0	1	0
举发	0	0	0	0	0	2	0
吊车	0	0	0	0	0	2	0
陈宗	2	0	0	0	0	2	0
最近	0	0	0	0	0	32	0
游行法	0	0	0	0	0	1	0
防空洞	0	0	0	0	0	6	0
大震	0	0	0	0	0	3	0
零八年	0	0	0	0	0	1	0
修正案	0	0	0	0	0	18	0
民歌	0	0	0	0	0	3	0
对象	2	0	2	0	0	6	2
孩儿	1	0	0	1	0	1	0
义务	0	0	0	0	0	6	0
覆议	0	0	0	0	0	2	0
地检署	0	0	0	0	0	5	0
庄灵勋	1	0	0	0	0	1	0
裁决书	0	0	0	0	0	2	0
罗伯特·摩西	1	0	1	0	0	1	0
地面	0	0	0	0	0	2	0
角色	2	0	1	1	0	22	1
盈利	0	0	0	0	0	2	0
巨象	0	0	0	0	0	2	0
习俗	0	0	0	0	0	2	0
巴伯	3	0	0	0	0	3	0
元帅	1	0	1	0	0	1	0
羽毛	0	0	0	0	0	2	0
矿工们	1	0	1	0	0	1	1
拍档	0	7	0	0	0	0	0
之前	0	0	0	0	0	1	0
女儿	22	0	5	18	0	33	3
游泳	0	0	0	0	0	9	0
进修	0	0	0	0	0	4	0
自愿军	0	0	0	0	0	6	0
道路	0	0	0	0	0	30	0
法医	0	0	0	0	0	3	0
围炉	0	0	0	0	0	1	0
发动机	0	0	0	0	0	8	0
经销商	0	0	0	0	0	2	0
ｃｂｓ	0	5	0	0	0	1	0
高速	0	3	0	0	0	1	0
kzeng	0	0	0	0	0	1	0
远华案	0	0	0	0	0	2	0
中宣部	0	3	0	0	0	0	0
李书仪	2	0	0	0	0	2	0
警	0	0	0	0	0	2	1
当避	0	1	0	0	0	1	0
利马索市	0	1	0	0	0	1	0
支队	0	1	0	0	0	0	0
重心	1	0	0	0	0	3	1
哈日风	0	2	0	0	0	2	0
米·施蒂希	1	0	0	0	0	1	0
毒犯	1	0	1	0	0	1	0
式样	0	0	0	0	0	2	0
美利坚	1	1	1	0	0	1	0
表格	0	0	0	0	0	2	0
空姐	1	0	0	1	0	1	0
让·埃泼斯坦	1	0	0	0	0	1	0
锦标赛	0	0	0	0	0	23	0
中华民国	3	3	0	0	0	3	3
确定	0	0	0	0	0	3	0
讲话	0	0	0	0	0	17	0
境管局	0	1	0	0	0	0	0
名胜地	0	0	0	0	0	1	0
足球队	0	1	0	0	0	1	0
复工	0	0	0	0	0	4	0
护卫者	0	0	0	0	0	2	0
光复节	0	0	0	0	0	7	0
林文程	5	0	0	0	0	5	0
野心	0	0	0	0	0	2	0
良心犯	0	0	0	0	0	1	0
大雪	0	0	0	0	0	1	0
纽西兰人	0	0	0	0	0	2	0
女足	0	0	0	0	0	3	0
原住民	1	2	1	0	0	17	1
高国珠	5	0	0	0	0	5	0
徐明珠	3	0	0	3	0	3	0
心理学家	1	0	1	0	0	1	0
微型车	0	0	0	0	0	2	0
类型	0	0	0	0	0	3	0
农历	0	0	0	0	0	1	0
重庆	0	26	0	0	0	26	0
１日	0	0	0	0	0	2	0
进住	0	0	0	0	0	2	0
总书记	2	0	0	0	0	8	1
霍尔布鲁克	1	0	1	0	0	1	0
决议	0	0	0	0	0	26	0
空难	0	0	0	0	0	2	0
远传	0	3	0	0	0	3	0
波兰	0	5	0	0	0	5	0
工作	4	0	3	1	0	157	2
论调	0	0	0	0	0	2	0
水晶	0	0	0	0	0	7	0
论谈	0	0	0	0	0	2	0
型态	0	0	0	0	0	2	0
赈灾款	0	0	0	0	0	1	0
卡垫	0	0	0	0	0	2	0
金马	0	3	0	0	0	3	0
１６日	0	0	0	0	0	1	0
品种	0	0	0	0	0	6	0
韩昆	8	0	8	0	0	8	0
圆盆寺	0	0	0	0	0	2	0
布袋	0	0	0	0	0	3	0
政党	14	1	4	0	0	50	15
森飞	2	0	2	0	0	2	0
缔结	0	0	0	0	0	2	0
王童	2	0	2	0	0	2	0
学分	0	0	0	0	0	2	0
劳申伯格	1	0	0	0	0	1	0
设计	0	0	0	0	0	5	0
法院	1	41	1	0	0	80	1
压力	0	0	0	0	0	24	0
筹码	0	0	0	0	0	1	0
竞争	0	0	0	0	0	9	0
成绩	0	0	0	0	0	36	0
奥运	0	0	0	0	0	29	0
赌客	1	0	1	0	0	1	1
书中	0	0	0	0	0	1	0
攻关	0	0	0	0	0	2	0
何加正	1	0	0	0	0	1	0
院长	12	1	4	0	0	23	0
１３日	0	0	0	0	0	2	0
釜山	0	8	0	0	0	8	0
丁志仁	8	0	8	0	0	8	0
内部	0	0	0	0	0	9	0
培育	0	0	0	0	0	0	0
机场	0	2	0	0	0	84	0
张大千	3	0	0	0	0	3	0
高金	10	0	10	0	0	10	0
坊间	0	0	0	0	0	3	0
纳伊	0	0	0	0	0	1	0
审问	0	0	0	0	0	2	0
机坪	0	0	0	0	0	1	0
邮票	2	0	2	0	0	4	0
实际	0	0	0	0	0	6	0
股份	0	3	0	0	0	6	0
大局	0	0	0	0	0	4	0
军区	0	4	0	0	0	4	0
奖金	0	0	0	0	0	3	0
步署	0	0	0	0	0	1	0
金川	0	6	0	0	0	7	0
防御	0	0	0	0	0	14	0
脸盆儿	0	0	0	0	0	5	0
副总理	12	0	6	0	0	14	5
老手	0	0	0	0	0	1	0
加滕	13	0	13	0	0	13	0
刘加坤	2	0	0	0	0	2	0
作风	0	0	0	0	0	6	0
杨锦麟	1	0	0	0	0	1	0
特征	0	0	0	0	0	6	0
王义彬	1	0	0	0	0	1	0
毛毛人	16	0	16	0	0	16	16
堪称	1	0	1	0	0	1	0
１０月	0	0	0	0	0	4	3
厦门市	0	3	0	0	0	3	0
ｄｏｕｇｉｅ	1	0	1	0	0	1	0
九份	0	8	0	0	0	8	0
裙子	0	0	0	0	0	2	0
支助	0	0	0	0	0	2	0
兵团	3	3	0	0	0	4	3
它们	3	2	3	0	0	103	13
博士	2	0	0	0	0	8	0
王大智	2	0	0	0	0	2	0
越南	0	57	0	0	0	54	4
巴万	6	0	6	0	0	6	0
大学	14	78	14	0	0	65	15
辅大	0	1	0	0	0	1	0
砍柴	0	0	0	0	0	3	0
贝尔法斯特	0	2	0	0	0	2	0
重建	0	0	0	0	0	11	0
渴求	0	0	0	0	0	4	0
利库德党	0	2	0	0	0	2	0
米奇	3	0	2	0	0	2	1
巴解	0	2	0	0	0	2	0
死刑制	0	0	0	0	0	4	0
警力	0	0	0	0	0	2	0
白领	0	0	0	0	0	3	0
玻璃	0	0	0	0	0	4	0
乡人	1	0	1	0	0	1	1
李安金	3	0	3	0	0	3	0
邱同顺	2	0	0	0	0	2	0
陶土	0	0	0	0	0	10	0
弊案	0	0	0	0	0	2	0
乡亲	1	0	0	0	0	2	2
麦晒	0	0	0	0	0	3	0
盖兹	1	0	1	0	0	1	0
大宇	0	1	0	0	0	0	0
包括	3	1	2	0	0	7	4
字号	0	0	0	0	0	2	0
批评家	1	0	1	0	0	1	1
差价	0	0	0	0	0	2	0
通讯	0	0	0	0	0	3	0
杰克	2	0	0	0	0	2	0
巴西	0	3	0	0	0	3	0
台北市	28	68	0	0	0	63	2
现代人	2	0	0	0	0	3	2
游民	0	0	0	0	0	2	0
攻坚战	0	0	0	0	0	2	0
ｇｏｏｇｌｅｒｅａｄｅｒ	0	0	0	0	0	2	0
情报	0	0	0	0	0	2	0
大宗	0	0	0	0	0	1	0
法制	0	0	0	0	0	3	0
狩野胜	1	1	1	0	0	1	0
安·马尔	1	0	0	0	0	1	0
幸福	0	0	0	0	0	5	0
makine	1	0	1	0	0	1	0
变电所	0	0	0	0	0	1	0
授权金	0	0	0	0	0	1	0
牙齿	0	0	0	0	0	1	0
半山腰	0	0	0	0	0	1	0
新墨西哥州	0	4	0	0	0	4	0
逻辑	0	0	0	0	0	2	0
余额	0	0	0	0	0	11	0
胸花	0	0	0	0	0	2	0
发展权	0	0	0	0	0	2	0
举动	0	0	0	0	0	5	0
警队	0	0	0	0	0	1	0
除夕	0	0	0	0	0	2	0
场面	0	0	0	0	0	4	0
记账	0	0	0	0	0	2	0
攸关	0	0	0	0	0	1	0
嘉勒	1	0	0	1	0	1	0
丈夫	15	0	14	0	0	20	2
大宴	0	0	0	0	0	1	0
平埔族	0	0	0	0	0	6	0
举办	0	0	0	0	0	2	0
大家	29	1	11	0	0	55	31
汶川	0	1	0	0	0	9	0
达利	3	0	0	0	0	1	2
元首	1	0	0	0	0	4	1
准新人	0	0	0	0	0	4	0
汤姆·恩格尔哈特	1	0	0	0	0	1	0
兔子	1	0	0	0	0	1	1
行政院	4	45	0	0	0	8	4
定金	0	0	0	0	0	2	0
河北队	3	0	0	0	0	3	0
抢案	0	0	0	0	0	5	0
乐美真	1	0	0	0	0	1	0
安全区	0	0	0	0	0	2	0
冠冕	0	0	0	0	0	2	0
野兽	0	0	0	0	0	1	1
核潜	0	0	0	0	0	1	0
洪善祥	2	0	0	0	0	2	0
高雄	0	21	0	0	0	21	0
良宵	0	0	0	0	0	1	0
冠军	2	0	0	0	0	18	0
苏建何	11	0	10	0	0	11	0
淑真	8	0	0	8	0	8	0
沉默	0	0	0	0	0	2	0
跟	5	2	2	1	0	5	8
原因	0	0	0	0	0	38	0
３０日	0	0	0	0	0	1	0
距	0	0	0	0	0	1	0
韦德里纳	4	0	0	0	0	4	0
差距	0	0	0	0	0	11	0
楼梯间	0	0	0	0	0	2	0
路	0	0	0	0	0	42	0
外在	0	0	0	0	0	2	0
哈比比	1	0	1	0	0	1	0
野外	0	0	0	0	0	2	0
布兰特尼	0	0	0	0	0	2	0
参加	0	0	0	0	0	2	0
云林县	0	2	0	0	0	2	0
水流	0	0	0	0	0	2	0
赣州市	0	2	0	0	0	2	0
污染	0	0	0	0	0	21	5
指导	0	0	0	0	0	3	0
北京市	0	28	0	0	0	28	0
分行	0	2	0	0	0	11	0
ｃｎｎ	0	8	0	0	0	5	0
彩车	0	0	0	0	0	3	0
达兰萨拉	0	2	0	0	0	2	0
丽莎·诺瓦克	1	0	0	1	0	1	0
安倍晋三	2	0	0	0	0	2	0
近午	0	0	0	0	0	2	0
金正日	76	22	58	0	0	76	0
阿尔哈诺夫	1	0	1	0	0	1	0
约翰·威尔	2	0	0	0	0	2	0
盐寮湾	0	1	0	0	0	1	0
新华社	0	6	0	0	0	0	0
越	0	3	0	0	0	3	0
教会	1	0	1	0	0	3	2
我们两	1	0	0	0	0	0	1
连长	1	0	0	0	0	1	0
虾蟹壳	0	0	0	0	0	2	0
赦免	0	0	0	0	0	3	0
分裂	0	0	0	0	0	2	0
脸膛	0	0	0	0	0	1	0
描绘	0	0	0	0	0	1	0
党委	0	0	0	0	0	3	0
流行	0	0	0	0	0	2	0
朱马古洛夫	4	0	4	0	0	4	0
农业局	0	3	0	0	0	3	0
运输机	0	0	0	0	0	3	0
外国	0	0	0	0	0	2	0
仪表盘	0	0	0	0	0	2	0
中小学	0	0	0	0	0	5	0
权责	0	0	0	0	0	2	0
兵器	0	0	0	0	0	1	0
新闻局	0	8	0	0	0	0	0
f－22	0	0	0	0	0	2	0
九五	0	1	0	0	0	3	0
停车场	0	0	0	0	0	4	0
管理	0	2	0	0	0	28	2
诺瓦克	3	0	0	3	0	3	0
大哥	1	0	1	0	0	1	0
前者	1	0	1	0	0	6	1
转折点	0	0	0	0	0	2	0
汇款	0	0	0	0	0	4	0
处处	0	0	0	0	0	2	0
阎王爷	0	0	0	0	0	1	0
木刻	0	0	0	0	0	1	0
朝野	0	0	0	0	0	14	0
３１日	0	0	0	0	0	9	2
足	1	0	0	0	0	5	0
丰台	0	0	0	0	0	2	0
沿岸	0	0	0	0	0	1	0
资	0	0	0	0	0	2	0
教书	0	0	0	0	0	1	0
重刑	0	0	0	0	0	2	0
徐进良	2	0	0	0	0	2	0
皇城	0	0	0	0	0	2	0
混血儿	0	0	0	0	0	2	0
吴阶平	1	0	0	0	0	1	0
角落	0	0	0	0	0	1	0
制药业	0	0	0	0	0	2	0
嫌疑人	0	0	0	0	0	5	1
金奖	0	0	0	0	0	5	0
重创	0	0	0	0	0	1	0
攻击	0	0	0	0	0	16	0
贝尔斯通	0	0	0	0	0	1	0
称之为	0	0	0	0	0	2	0
谭盾	8	0	8	0	0	8	0
风采	0	0	0	0	0	4	2
白皮书	0	0	0	0	0	17	0
水泥	0	0	0	0	0	2	0
等级	0	0	0	0	0	2	0
崇明	0	5	0	0	0	5	0
赛	0	0	0	0	0	2	0
由于	0	1	0	0	0	1	0
李光耀	25	0	23	0	0	25	0
全城	0	1	0	0	0	1	0
发光	0	0	0	0	1	1	0
温泉	0	2	0	0	0	4	0
日程	0	4	0	0	0	4	0
立足点	0	0	0	0	0	2	0
改制	0	0	0	0	0	1	0
政治家	0	0	0	0	0	7	0
赛前	0	0	0	0	0	1	0
陶俑	2	2	0	0	0	12	2
崔梅兰	3	0	0	3	0	3	0
坏死	0	0	0	0	0	0	1
二分局	1	1	1	0	0	1	1
典狱长	0	0	0	0	0	1	0
鼓城	0	0	0	0	0	5	0
走	1	0	1	0	0	1	1
辅导	0	0	0	0	0	1	0
主导型	0	0	0	0	0	2	0
指控书	0	0	0	0	0	1	0
十月份	0	0	0	0	0	6	0
老方	0	0	0	0	0	3	0
２００８年	0	0	0	0	0	4	0
制药	0	1	0	0	0	0	0
克林顿	163	9	95	0	0	163	0
拇指	0	0	0	0	0	1	0
基地	0	4	0	0	0	61	0
网站	2	4	2	0	5	21	2
商机	0	0	0	0	0	1	0
台湾区	0	2	0	0	0	2	0
江西省	0	9	0	0	0	9	0
整治法	0	0	0	0	0	3	0
